label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
10;17782855;8;53846;15746
10;16199420;10;30585;13471
10;20848665;10;66566;32
10;22737304;10;71400;12
10;18554676;9;48972;45
10;22653232;11;84808;72
10;17560830;10;66208;165
10;20481043;12;33915;486
10;21984304;12;55005;112
10;19006044;12;53121;106
10;22495348;10;40811;19189
10;19681501;11;32364;132
10;18662796;10;45069;102
10;19026811;14;49165;36
10;18858965;11;43944;2236
10;19406624;12;44026;94
10;19606043;13;35774;30
10;21092763;14;42714;0
10;21466264;12;41323;14
10;20069804;9;49034;1858
10;19577955;13;51322;40
10;18402134;10;57842;650
10;19229598;13;33249;37
10;16095352;11;37264;10
10;22921816;9;62073;17923
10;19438739;11;73532;71
10;19284178;11;36797;80
10;20062000;9;41493;83
10;19837007;10;39878;138
10;19367974;12;52486;10
10;19251224;12;30982;157
10;20538827;12;38032;0
10;20555414;11;52416;242
10;21424713;14;55746;325
10;19477879;12;60415;162
10;15721727;11;31718;999
10;19567971;13;31479;26
10;21514234;11;50984;192
10;17824203;7;41446;17409
11;22608678;13;53528;72
11;23843800;11;53903;40
11;21883198;11;74192;455
11;23001238;11;53144;13869
11;22841202;15;53403;164
11;17925446;11;53570;66
11;23270031;13;80081;12
11;21185754;10;56500;11912
11;20359614;13;42085;19
11;17958862;10;36929;12628
11;19098471;11;41628;13675
11;18787860;10;41461;14068
11;22039011;12;39728;647
11;23396597;9;73050;51
11;17579115;12;33284;530
11;20783225;13;43183;797
11;20268529;9;51105;423
11;19155157;11;66524;59
11;21181715;10;41272;14551
11;23372175;11;67066;958
11;22955300;12;57266;32
11;22410243;15;51437;15
11;23185843;13;50501;24
11;20494634;12;86035;2
11;21749712;11;29183;16293
11;20315506;12;51583;12
11;17808838;11;30350;14505
11;21463570;14;58752;62
11;23139132;11;51719;818
11;20897681;15;57189;57
11;22751928;12;38962;43
11;21774350;8;92477;15706
11;23341943;16;52635;247
11;20742892;11;49296;22
11;24104469;12;58548;77
11;19375040;10;47693;11056
11;20122655;12;43208;33
11;22394926;10;55380;2706
11;22012441;11;40706;13383
11;18178330;13;24854;96
11;21257144;13;53360;74
11;21860138;15;64924;10
11;22910422;8;67792;13654
12;21386520;13;40357;40
12;24512711;12;33112;12903
12;21641093;12;45738;2
12;22314065;18;45537;23
12;21454650;12;63027;2
12;24667793;11;59821;63
12;24793726;12;55237;1621
12;24021000;10;79231;1342
