label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit;left2_pxcount;left2_fruitcount;left2_maxfruit;left2_minfruit;right2_pxcount;right2_fruitcount;right2_maxfruit;right2_minfruit
10;18099863;10;43564;10829;22555055;10;61728;34;22303892;9;56416;1506
10;16315046;10;30955;13065;16790206;9;41473;0;23767331;7;78170;5365
10;21155906;10;51588;14457;25537009;8;75792;2596;32134934;8;111926;15964
10;22960444;9;57817;19276;25193853;6;75559;18553;29746207;10;113262;0
10;18918426;10;42642;13955;22052044;16;49695;0;21841879;9;51941;1044
10;22931893;10;38625;20614;27289301;8;91634;39;23572054;12;63963;0
10;17907873;10;42809;15305;23690408;11;69158;4;20428286;8;62748;2470
10;20555913;10;33896;16470;25358472;8;72023;54;24741492;9;67429;49
10;22244491;10;53957;13469;23832977;7;76749;0;28656992;12;89683;0
10;19329624;11;47371;0;23819926;11;50428;448;19983413;4;103465;25991
10;22560178;10;42475;19427;24468355;8;45113;10797;29500147;12;65914;0
10;19954496;10;33659;16967;19784074;7;40361;15486;23889370;10;60016;3047
10;19063957;11;45486;121;22215275;5;119287;0;20926103;9;49409;2731
10;19323725;10;49422;12403;22851704;10;51384;0;21926108;7;73631;2974
10;19169839;10;43582;12676;21910886;9;75876;6812;22889045;9;62672;2604
10;19912766;10;44621;13395;23069780;12;55106;3;24476623;9;58941;4185
10;19697228;10;32379;13238;26000526;15;77863;0;21517489;9;57021;211
10;21402554;8;75266;15364;24078111;10;44090;3;25299342;8;84189;3
10;21785446;10;41735;17601;27200401;12;89936;0;25043689;7;54192;9666
10;20460824;11;36068;247;29439369;14;76212;0;22635673;8;50521;4739
10;20003022;10;52347;10854;22570686;8;73965;0;21378155;8;77143;1159
10;18787648;10;44767;15593;17754236;8;43445;3269;25970110;10;52672;2934
10;19504937;10;34251;15182;19805700;13;44782;0;24292926;10;61994;3253
10;16322772;10;33339;14858;20902173;14;34868;0;25097390;7;110104;42
10;23134907;10;35420;17699;25128187;8;57943;7022;24887954;8;65164;163
10;19674092;10;49233;11397;23025910;9;38634;7821;23091355;11;87029;0
10;19600971;10;36874;15960;22003749;8;52433;26;25347072;8;79917;5435
10;20347394;10;39118;15218;20102811;7;61262;5332;22332671;7;74715;0
10;20160274;10;40577;14141;23650811;9;89567;61;22729984;10;67718;0
10;19595453;10;38545;14349;21284000;9;71163;2827;24830132;9;76680;0
10;19543199;10;31662;15573;23595069;10;53599;438;20949510;12;68751;0
